Beginning Fiscal Year,Ending Fiscal Year,County,School District, Amount of Aid 
2002,2003,Albany           ,Albany,7242297.04
2002,2003,Albany           ,Berne-Knox-Westerlo,874046.94
2002,2003,Albany           ,Bethlehem,2786954.71
2002,2003,Albany           ,Cohoes,1820297.94
2002,2003,Albany           ,Green Island,241859.93
2002,2003,Albany           ,Guilderland,3182536.1
2002,2003,Albany           ,Maplewood,32160.3
2002,2003,Albany           ,Menands Csd,6870
2002,2003,Albany           ,North Colonie,1808923.74
2002,2003,Albany           ,Ravena-Coeymans,1442362.27
2002,2003,Albany           ,South Colonie,2513302.29
2002,2003,Albany           ,Voorheesville,749217.09
2002,2003,Albany           ,Watervliet,1343929.78
2002,2003,Allegany         ,Alfred Almond,639180.36
2002,2003,Allegany         ,Andover,360016.33
2002,2003,Allegany         ,Angelica-Belmont,678341.89
2002,2003,Allegany         ,Belfast,514580.45
2002,2003,Allegany         ,Bolivar-Richburg,1054863.22
2002,2003,Allegany         ,Canaseraga,295969.55
2002,2003,Allegany         ,Cuba-Rushford,1068484.14
2002,2003,Allegany         ,Fillmore,708898.85
2002,2003,Allegany         ,Friendship,350201.53
2002,2003,Allegany         ,Scio,540137.97
2002,2003,Allegany         ,Wellsville,1368192.51
2002,2003,Allegany         ,Whitesville,305635.75
2002,2003,Broome           ,Binghamton,5797909.19
2002,2003,Broome           ,Chenango Forks,1925804.37
2002,2003,Broome           ,Chenango Valley,1504343.32
2002,2003,Broome           ,Deposit,344655.5
2002,2003,Broome           ,Harpursville,1159932.16
2002,2003,Broome           ,Johnson City,1847071.47
2002,2003,Broome           ,Maine-Endwell,2360595.38
2002,2003,Broome           ,Susquehanna Valley,2059068.45
2002,2003,Broome           ,Union-Endicott,3634779.66
2002,2003,Broome           ,Vestal,3065927.8
2002,2003,Broome           ,Whitney Point,2130786.76
2002,2003,Broome           ,Windsor,1940135.82
2002,2003,Cattaraugus      ,Allegany-Limestone,1340155.01
2002,2003,Cattaraugus      ,Cattaraugus,1177560.91
2002,2003,Cattaraugus      ,Ellicottville,24523.14
2002,2003,Cattaraugus      ,Franklinville,972110.76
2002,2003,Cattaraugus      ,Gowanda,1380462.72
